protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,radius,p99,210.84390640935788,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,radius,violations,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,seam300,value,0.3880952380952381,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,a4,value,0.0,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,edgeRatio30,value,0.17894736842105266,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,radius,max,246.7725872531882,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,radius,p50,88.26105944704359,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,radius,p95,175.73633829120726,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,radius,p99,214.05162637931383,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,radius,violations,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090304,seam300,value,0.5079365079365079,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,a4,value,0.0,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,edgeRatio30,value,0.8947368421052633,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,radius,max,232.09934496260266,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,radius,p50,87.64203532809432,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,radius,p95,174.47968698983547,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,radius,p99,200.87144164270381,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,radius,violations,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090305,seam300,value,0.29136904761904764,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,a4,max,0.1719230245771825,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,a4,median,0.07834908191712706,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,a4,min,0.04430367306059239,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,edgeRatio30,max,0.8947368421052633,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,edgeRatio30,median,0.8947368421052633,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,edgeRatio30,min,0.8947368421052633,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,hotspot50,cv,2.0139831181020384,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,hotspot50,max,31.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,hotspot50,p99,30.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,neighbors10,value,2.056,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,proximity16,value,0.922,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,proximity24,value,0.968,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,proximity8,value,0.696,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,radius,max.max,234.90207678755752,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,radius,max.median,197.15771997555262,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,radius,max.min,185.67205450284507,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,radius,p50.max,96.92161906436156,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,radius,p50.median,88.93092822321887,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-single-n500,,radius,p50.min,81.76204064520043,m,valid
